date,title,description,url
2024-05-07T02:35:32+00:00,US agency launches climate resilience efforts in Kenya,"The United States Agency for International Development this week launched a $6 million program to support small businesses and financial institutions in northern Kenya that are looking to implement climate-smart practices and enhance their resilience to climate-related challenges. The region suffers from recurring droughts; when it does rain, it often floods, causing people to lose their livelihoods. Mohammed Yusuf reports on the USAID program goals.",https://www.voaafrica.com/a/7600818.html
2024-05-03T02:16:28+00:00,US Speaker urged to invite Kenya’s President to address Congress,"The US House Committee on Foreign Affairs has put in a formal request to Speaker Mike Johnson to invite Kenyan President William Ruto to address a joint session of the Congress. President Ruto is scheduled to visit the United States on an official state visit on May 23, 2024, the first time in two decades that an African president has been accorded a state visit in the US. VOA’s Douglas Mpuga has the details.",https://www.voaafrica.com/a/7596186.html
2024-05-01T17:56:28+00:00,Group empowers women to bridge technology divide in rural Kenya,"Kenya’s Center for Women Empowerment in Technology is helping to bridge the technology divide in rural areas in the East African country. Judy Makaria, co-founder and CEO of the group, tells VOA’s Peter Clottey that its core aim is to strengthen the role of women and to integrate them in the use of technology in socio-economic development.",https://www.voaafrica.com/a/7593848.html
2024-05-01T13:06:54+00:00,Flooding devastates poor Kenyan communities,"The latest reports from Kenya say floods have claimed the lives of almost 170 people, while more than 200,000 people have been affected by the disaster. Jack Oduor, a community organizer in Nairobi’s Mathare slums, talks with VOA's Paul Ndiho about the devastating impact of the floods on his community.",https://www.voaafrica.com/a/7593368.html
2024-04-30T14:26:06+00:00,East Africa floods bring death and destruction,"Heavy rains continue to pound a large portion of East Africa, causing death and devastation. At least 240 people have died in floods in recent days In Kenya and Tanzania. Tens of thousands of people have been displaced. Police said Monday that at least 40 people died when a dam burst in western Kenya. VOA's Reuben Kyama reports from Nairobi.",https://www.voaafrica.com/a/7591745.html
2024-04-30T13:51:11+00:00,Doctors fired in Kenya,"Dr. Dennis Miskellah, deputy secretary of Kenya Medical Practitioners Pharmacists and Dentists Union says members of the group will not be intimidated or bullied into returning to work until their concerns are addressed. VOA's Peter Clottey spoke with Dr. Miskellah for an update in the Kenya doctor’s strike.",https://www.voaafrica.com/a/7591807.html
2024-04-29T16:05:50+00:00,Kenya flooding worsens healthcare crisis,"Several people were reported missing Sunday evening after a boat capsized in Mororo, Bangale in Tana River County in Kenya. TJeffrey Okoro, the Executive Director of CFK Africa, an NGO that works with community members in Kenya, tells VOA’s James Butty the crisis in access to healthcare has been compounded by major flooding across the country.",https://www.voaafrica.com/a/7589439.html
2024-04-29T15:39:04+00:00,Kenya to host South Sudan peace talks,"A South Sudan official has confirmed that Kenya will host peace talks soon between the government and so-called holdout armed groups. Nathaniel Oyet Pierrino, Deputy Chairman of the SPLM-IO, tells VOA’s James Butty he’s disappointed that the Kenyan mediator who visited Juba over the weekend did not meet with South Sudan First Vice President Riek Machar.",https://www.voaafrica.com/a/7589414.html
2024-04-24T12:42:30+00:00,Military equipment acquisition questioned following helicopter crash that killed Kenya’s defense chief,"A security expert in Kenya is expressing concern about political decisions behind the country's acquisition of military equipment following the launch of an investigation into the helicopter crash that killed the country’s military chief, General Francis Ogolla and nine others. Retired Major General Charles Mwanzia in the Kenyan capital, Nairobi, spoke with VOA's Peter Clottey.",https://www.voaafrica.com/a/7583005.html
2024-04-22T13:24:31+00:00,"Inquiry into death of General Francis Ogolla, Chief of Kenya’s Defense Forces",Kenyan President William Ruto has called for a thorough and unhindered investigation into the helicopter crash that killed the Kenyan Chief of Defense Forces General Francis Ogolla. General Ogolla and nine other military personnel died last Thursday when their helicopter crashed in the North Rift region of the country. VOA’s James Butty has more.,https://www.voaafrica.com/a/7579835.html
2024-04-19T01:29:58+00:00,Kenya’s President Ruto mourns Army chief killed in helicopter crash,Kenya is mourning the death of its Chief of Defense Forces General Francis Ogolla and nine other military personnel on Thursday. They had been inspecting the North Rift region where the military is conducting an operation against banditry when their helicopter crashed. President William Ruto has declared three days of national mourning beginning Friday.,https://www.voaafrica.com/a/7576388.html
2024-03-30T06:00:00+00:00,Kenyan Health Care Business Brings Low-Cost Ultrasound to Expectant Mothers,"For most pregnant women in the slums of Nairobi, ultrasound services are an unaffordable luxury. Now, a Kenyan health care business is using portable, low-cost ultrasound systems to give expectant mothers a chance to see their babies and detect any health problems before the delivery day. Victoria Amunga reports from Nairobi. Videographer: Jimmy Makhulo",https://www.voaafrica.com/a/7548834.html
2024-02-19T18:30:00+00:00,Kenyan Entrepreneur Addresses Plastic Pollution,"A Kenyan company is addressing packaging, one of the world’s biggest plastic pollution challenges, by producing toxic chemical-free, composable food products from agricultural waste. VOA’s Juma Majanga has more in this file that was produced from Thika, Kenya.",https://www.voaafrica.com/a/7493643.html
